,dispersion ratio,generate level,solar elevation,predict
62王山头村11,0.033,0.876899,29.10128,0.0
62王山头村12,0.108,0.972758,31.45183,0.0
62王山头村13,0.194,0.972758,30.43291,1.0
62王山头村14,0.171,0.964202,26.20838,1.0
62王山头村15,0.195,1.0,19.36153,1.0
63杜庄村8,0.215,1.0,6.672896,1.0
63杜庄村9,0.142,0.784314,16.04612,1.0
63杜庄村10,0.134,0.949367,23.7448,1.0
63杜庄村11,0.105,0.962343,29.10128,0.0
63杜庄村12,0.121,0.985915,31.45183,1.0
63杜庄村13,0.104,0.985915,30.43291,0.0
63杜庄村14,0.137,0.97166,26.20838,1.0
63杜庄村15,0.136,0.994475,19.36153,1.0
64南刘庄8,0.394,0.919231,6.672896,1.0
64南刘庄9,0.116,0.720965,16.04612,1.0
64南刘庄10,0.031,0.989046,23.7448,0.0
64南刘庄11,0.036,1.0,29.10128,0.0
64南刘庄12,0.057,0.906284,31.45183,0.0
64南刘庄13,0.094,0.938651,30.43291,0.0
64南刘庄14,0.17,0.89318,26.20838,1.0
64南刘庄15,0.143,0.863366,19.36153,1.0
65臧庄村8,0.104,0.95,6.672896,0.0
65臧庄村9,0.141,0.931373,16.04612,0.0
65臧庄村10,0.103,0.901899,23.7448,0.0
65臧庄村11,0.066,0.914226,29.10128,0.0
65臧庄村12,0.08,0.93662,31.45183,0.0
65臧庄村13,0.101,0.97007,30.43291,0.0
65臧庄村14,0.051,1.0,26.20838,0.0
65臧庄村15,0.178,0.997238,19.36153,1.0
66张海村8,0.247,0.95,6.672896,1.0
66张海村9,0.202,0.931373,16.04612,1.0
66张海村10,0.121,0.781646,23.7448,1.0
66张海村11,0.05,0.914226,29.10128,0.0
66张海村12,0.053,0.93662,31.45183,0.0
66张海村13,0.072,0.93662,30.43291,0.0
66张海村14,0.073,1.0,26.20838,0.0
66张海村15,0.208,0.997238,19.36153,1.0
67丁泉村8,0.095,0.929412,6.672896,0.0
67丁泉村9,0.058,0.72895,16.04612,0.0
67丁泉村10,0.038,1.0,23.7448,0.0
67丁泉村11,0.084,0.972188,29.10128,0.0
67丁泉村12,0.068,0.949047,31.45183,0.0
67丁泉村13,0.073,0.949047,30.43291,0.0
67丁泉村14,0.092,0.9407,26.20838,0.0
67丁泉村15,0.134,0.872928,19.36153,1.0
68江庄村8,0.061,0.896774,6.672896,0.0
68江庄村9,0.034,0.978299,16.04612,0.0
68江庄村10,0.02,0.958815,23.7448,0.0
68江庄村11,0.035,0.979669,29.10128,0.0
